ANN TRAINER
    board size=13x13
    target value offset=0.7159
    hyperbolic constant a=1.7159
    hyperbolic constant b=0.6667
    initial minimum weight=0.0001
    learning rate=0.0020
    omp thread num=4
    nr of input units=507
    nr of neurons=338
    nr of connections=68356, avg 202.2
    max weight distance=9

22:42:19 | info | dset | Data set loaded with 304175 examples, yielding 2432774 examples
22:42:19: Init learning rates and randomizing weights
Epoch       Error  Accuracy  Selected  BPAvg Min  Q1  Med  Q2  Max      Time
    1    1.983029  0.036756  0.596874   37.0   1   9   26  53  169  22:47:53
    2    1.974569  0.057912  0.625824   34.3   1   8   23  50  169  22:52:43
    3    1.973190  0.054365  0.617516   35.7   1   8   24  51  169  22:58:35
    4    1.972965  0.059076  0.628594   34.6   1   7   22  50  169  23:04:15
    5    1.972822  0.059783  0.625684   34.9   1   8   23  51  169  23:08:57
    6    1.972722  0.052030  0.633987   33.5   1   8   22  48  169  23:13:41
    7    1.972609  0.060946  0.642644   33.8   1   7   21  49  169  23:18:22
    8    1.972513  0.056038  0.636963   34.1   1   8   22  49  169  23:23:03
    9    1.972441  0.063425  0.649886   33.2   1   7   21  48  169  23:27:56
   10    1.972387  0.061357  0.624891   35.1   1   8   23  51  169  23:32:58
   11    1.972326  0.052232  0.636342   34.2   1   8   22  49  169  23:38:00
   12    1.972271  0.062726  0.636947   33.9   1   7   22  49  169  23:43:05
   13    1.972255  0.055960  0.639553   33.5   1   7   22  48  169  23:48:14
