ANN TRAINER
    board size=13x13
    target value offset=0.7159
    hyperbolic constant a=1.7159
    hyperbolic constant b=0.6667
    initial minimum weight=0.0001
    learning rate=0.0020
    omp thread num=4
    nr of input units=507
    nr of neurons=338
    nr of connections=77236, avg 228.5
    max weight distance=10

20:47:18 | info | dset | Data set loaded with 304175 examples, yielding 2432774 examples
20:47:18: Init learning rates and randomizing weights
Epoch       Error  Accuracy  Selected  BPAvg Min  Q1  Med  Q2  Max      Time
    1    1.983784  0.045832  0.609078   35.8   1   9   25  52  169  20:52:23
    2    1.976012  0.055467  0.620891   35.0   1   8   23  51  169  20:57:47
    3    1.974227  0.043102  0.624385   35.1   1   8   23  51  169  21:03:11
    4    1.973641  0.042025  0.608786   36.7   1   9   24  53  169  21:08:32
    5    1.973327  0.047410  0.649183   33.7   1   7   21  48  169  21:13:54
    6    1.973169  0.061336  0.617257   35.1   1   8   23  52  169  21:19:08
    7    1.973043  0.060260  0.623986   34.7   1   8   23  50  169  21:24:23
    8    1.972955  0.052409  0.628409   35.2   1   8   23  50  169  21:29:47
    9    1.972878  0.040015  0.621672   35.9   1   9   23  52  169  21:35:14
   10    1.972828  0.049428  0.642418   33.5   1   8   22  48  169  21:40:32
   11    1.972758  0.060482  0.624734   34.7   1   8   23  50  169  21:45:48
   12    1.972721  0.061295  0.625774   34.7   1   7   22  51  169  21:51:07
   13    1.972681  0.057168  0.639676   33.8   1   7   22  49  169  21:56:31
   14    1.972669  0.046046  0.629946   35.3   1   9   23  50  169  22:01:51
   15    1.972617  0.064243  0.632425   33.8   1   7   22  50  169  22:07:05
   16    1.972617  0.057756  0.616197   35.4   1   8   24  51  169  22:12:26
   17    1.972597  0.050719  0.627480   35.6   1   8   23  51  169  22:17:57
   18    1.972594  0.054225  0.625117   34.8   1   8   23  51  169  22:23:28
   19    1.972594  0.062537  0.637686   34.0   1   7   22  49  169  22:29:02
   20    1.972561  0.059972  0.626868   34.6   1   7   22  51  169  22:34:37
