ANN TRAINER
    board size=9x9
    target value offset=0.7159
    hyperbolic constant a=1.7159
    hyperbolic constant b=0.6667
    initial minimum weight=0.0001
    learning rate=0.0020
    omp thread num=4
    nr of input units=243
    nr of neurons=162
    nr of connections=22884, avg 141.3
    max weight distance=9

20:57:27 | info | dset | Data set loaded with 1000000 examples, yielding 7995297 examples
20:57:27: Init learning rates and randomizing weights
Epoch       Error  Accuracy  Selected  BPAvg Min  Q1  Med  Q2  Max      Time
    1    1.918621  0.110084  0.736851   12.2   1   3    8  16   81  21:04:48
    2    1.915952  0.110798  0.748282   12.0   1   3    8  16   81  21:12:30
    3    1.915797  0.111413  0.740902   12.2   1   3    8  16   81  21:20:04
    4    1.915712  0.109006  0.740368   12.1   1   3    8  16   81  21:28:09
    5    1.915651  0.108070  0.752510   11.9   1   3    8  16   81  21:36:10
    6    1.915579  0.115547  0.752274   11.9   1   3    7  16   81  21:44:31
    7    1.915568  0.110134  0.744696   11.9   1   3    8  16   81  21:52:55
    8    1.915550  0.107389  0.739709   12.3   1   3    8  16   81  22:01:23
    9    1.915529  0.115251  0.744604   11.8   1   3    8  16   81  22:09:28
   10    1.915503  0.109857  0.746926   12.1   1   3    8  16   81  22:16:57
   11    1.915492  0.107975  0.732455   12.5   1   3    8  17   81  22:24:10
   12    1.915479  0.114425  0.746913   11.7   1   3    7  16   81  22:31:35
   13    1.915441  0.110538  0.750753   11.7   1   3    8  16   81  22:38:54
   14    1.915333  0.104998  0.742691   12.1   1   3    8  16   81  22:46:07
   15    1.915003  0.111692  0.746707   12.1   1   3    8  16   81  22:53:15
