ANN TRAINER
    board size=9x9
    target value offset=0.7159
    hyperbolic constant a=1.7159
    hyperbolic constant b=0.6667
    initial minimum weight=0.0001
    learning rate=0.0020
    omp thread num=4
    nr of input units=243
    nr of neurons=162
    nr of connections=24228, avg 149.6
    max weight distance=10

22:56:20 | info | dset | Data set loaded with 1000000 examples, yielding 7995297 examples
22:56:20: Init learning rates and randomizing weights
Epoch       Error  Accuracy  Selected  BPAvg Min  Q1  Med  Q2  Max      Time
    1    1.920006  0.112022  0.735869   12.3   1   3    8  16   81  23:03:34
    2    1.917530  0.109627  0.736700   12.2   1   3    8  16   81  23:10:32
    3    1.917410  0.114406  0.752009   11.7   1   3    7  16   81  23:17:26
    4    1.917338  0.102620  0.738747   12.1   1   3    8  16   81  23:24:34
    5    1.917277  0.112389  0.738229   12.1   1   3    8  16   81  23:32:18
    6    1.917292  0.108490  0.734340   12.5   1   3    8  16   81  23:39:55
    7    1.917248  0.113111  0.749522   11.9   1   3    8  16   81  23:46:52
    8    1.917224  0.105482  0.740168   12.0   1   3    8  16   81  23:53:48
    9    1.917178  0.110828  0.739521   12.3   1   3    8  16   81  00:00:45
   10    1.917164  0.104432  0.747492   12.0   1   3    8  16   81  00:07:42
   11    1.917135  0.111490  0.742842   11.9   1   3    8  16   81  00:14:41
